QID,Question,ACYDBNhKOn-ExY7ipfFgxYguVq0ZAu1IxhnEc4ARYEv07nC0Sia2A4lub4VTJEClBhIL1xU,ACYDBNjC8MoMVJom-cuuktwQoN2yGBlefoUMdupd5MO6TiXgwHX-jFJSRrFwDo7gSvZ2TkY,ACYDBNjkfWpuNT5UmtIRsnCvtHXO-woRSJNxcxeVJQa_reGJWhQfpDBoL5tz9ZbVp0CA344,ACYDBNgvb3MjU1I5fYaGS5X4O-5oNBUWPh5b7vwVW1jk8ZwxHUMNmGO7akGGcMKgob7gbq8,ACYDBNgspIPELllCBG7cHtAL9M9pNUkWKf_28nRtwBM5QEZm12mTWBNYpWB5Q8qjpAwiu1E,ACYDBNiix27mEww_FUU8I_eSaWhbN-9_FMalzqrld8J5QYxktw_z5RnMo56_Y5-0lD1Xjo4,ACYDBNgQN2r6KnISP3n1zEM7TIFIbybPd4yoKrVXX3jmE01x_a3o8aLt-ZM3Pqgb30CJfDg,ACYDBNhRdGI299IBisqFM1yC8gXrcvsvTBhm4IJgNq8yM-cP2OQVgGng-kUNLGo0ltKdaA0,ACYDBNgwtspo_pnu_9-a-8iERmbuNKLmVflFb3FHUmNNJuY2QE87W9I8twprDvW8qdwd8Vs,ACYDBNj7v4CQjXOTnYFVWBMCx1YzYjrv_l_HrTyeqUJ4b_PCzmMb08bn1tis0zrXUM1hstY,ACYDBNgZcduun7LO-L8CJtvuT8HXBXi-IJnPUoGK6XNr83266exoEPWD_iqhDLT0tJjW5Jk,ACYDBNii5BniUZ_uTHMTafAEBY0YIVegRWV8l2Jq82VtESpHHvo6N6z6hLtdxE03W10Syv4,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,ACYDBNg5_QVfefX8puYA09PUCR42EdiLD8nAvWZbRotBJ2B3ZozJdQKFkoUTgzHklIeICZM
custom1,Project ID,DC01_090823,HL01_091523,JV01_091323,JV01_091523,AY01_091923,HL01_100223,KM01_110223,KM01_101923,YD01_092923,HL01_110323,HL01_110623,AY01_110823,,,,,,
custom2,Reponsible Person,XZ,XZ,XZ,JW,XZ,XZ,XZ,XZ,JW,XZ,JW,XZ,,,,,,
custom3,Complete status,completed,completed,completed,completed,completed,completed,completed,completed,-,completed,-,completed,,,,,,
custom4,Bill,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,,,,,,
custom5,Paid,Yes,Yes,-,-,-,-,-,-,-,-,-,-,,,,,,
1bee076f,Authoship Disclosure Agreement,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications,,,,,,['I have read the authorship disclosure and will acknowledge the CAIPP Bioinformatics Modeling Core in publications']
644d300e,Request Date,2023-09-08,2023-09-15,2023-09-22,2023-09-15,2023-09-19,2023-10-02,0023-11-02,2023-10-19,2023-11-02,2023-11-03,2023-11-06,2023-11-08,,,,,,['2023-11-30']
0b02c22e,If it is an existing project,No,No,No,No,No,HL01_091523,KM01_101923,No,No,HL01_091523,No,AY01_091923,,,,,,"['sgk1, Lee lab']"
60e380b9,PI Name,Diana Cruz,Kevin Lin,John Vanchiere,John Vanchiere,Andrew Yurochko,Kevin Lin,Kevin Murnane,Kevin Murnane,Yufeng Dong,Kevin Lin,Kevin Lin,Andrew Yurochko,,,,,,['Reggie Lee']
000f4279,Funding Source ,LaSPACE,AHA TPA,5496001037,Dr V IDC,-,113-1492500-10001-35200-149251192A,"Pharmacology, Toxicology, & Neuroscience Departmental seed fund","Pharmacology, Toxicology & Neuroscience - Department Seed",NIH,1492500 113 10001 40001 5492501040,NIH NINDS RF1NS132291,NIH,,,,,,['NIH and AHA']
5738e880,Account number and billing contact person,"110351281A,Wes Brantley,318-675-6010","113-1492500-10001-35200-149251192A, business manager Jessica Cote (318-675-8299)","5496001037,Matthew Vitacca,(660) 238-1828","5496001037,Matthew Vitacca,660 238-1828",-,"113-1492500-10001-35200-149251192A,Jessica Cote,318-675-8299","5103001063, Kevin Murnane, 318-675-7830","5103001063, Kevin Murnane, 318-675-7830","149451056A,Monica Henderson,675-6178","113-1492500-10001-35200-149251192A,Jessica Cote,318-675-8299","1492500 113 10001 20200 149251197A,Jessica Cote,318-675-8299",Andria Buck,,,,,,"['149251190A, Jessica Cote, 5-8299']"
000f425b,Project title,Effects of gamma-radiation on brown adipose tissue,3xTg-AD treatment trials,JC Virus Infection,Purified JC & BK Polyomaviruses ,HCMV vs Mock at 5 time points experiment,VT analysis M vs F,Acute Psychedelic pathway analysis,Psychedelic HTR Sequencing,Identification of distinct molecular signature of human bone marrow stromal cells,VT GNX vs vehicle,Methyl seq_Lin PRMTs,Bioinformatics Analysis of HCMV Infection of Monocytes,,,,,,['kinase regulation in the brain']
39a4f614,Project Description,Mouse controls vs. mouse lacking glucocorticoid receptors in brown adipose tissue exposed to gamma-radiation and no exposed. RNA was isolated using QuantaBio (https://www.quantabio.com/product/extracta-plus-rna/). ,"We treat 3xTg-Ad mice with different treatments from different projects, which some involve young, old, male and female. We extract brain and isolate RNA from hippocampus and cortex.","JC Virus (3 subtypes - WT, Mad-1, S269F) infection(s) of HEK293TT Cells with mock infection",Three JC virus strains and a wildtype BK virus cultured in 293TT cells & purified by ultracentrifugation,"HCMV and Mock infected at 4h, 24h, 2wk, 4wk, 6wk",mouse brain,"mouse brain tissue, swiss-webster mice, acute psychedelic drug administration","Male Swiss-Webster mice, brain tissue (Prefrontal cortex & Striatium), TRIzol RNA extraction, Treatment (Saline, Psilocybin, R(-)2, 5-dimethoxy-4-iodoamphetamine[R(-)DOI], 4-hydroxy-diethyltryptamine [4-HO-DET])",human bone marrow stromal cells,"mouse brain regions, from 3xTG animals treated with vehicle or GNX","Mouse brain tisse (C57, 3xTgs and PRMT8KO). Qiagen extraction kit",Human Monocytes were infected with HCMV and time course of infection was performed,,,,,,
7a805a0c,Service Type,RNA-Seq analysis,RNA-Seq analysis,RNA-Seq analysis,DNA-Seq analysis,RNA-Seq analysis,RNA-Seq analysis,RNA-Seq analysis,RNA-Seq analysis,RNA-Seq analysis,RNA-Seq analysis,DNA-Seq analysis,RNA-Seq analysis,,,,,,['RNA-Seq analysis']
27d5e97c,RNA Analysis Service Type,"RNA-seq DEG Analysis, Pathway Analysis (ClusterProfiler: GeneSet Enrichment Analysis [GSEA] & Overreprestation Analysis)","RNA-seq DEG Analysis, Pathway and Pertubagen Analysis (3Pod analysis: GSEA, EnrichR, and LINCS)",RNA-seq DEG Analysis,-,"RNA-seq DEG Analysis, Pathway and Pertubagen Analysis (3Pod analysis: GSEA, EnrichR, and LINCS)",RNA-seq DEG Analysis,"Pathway and Pertubagen Analysis (3Pod analysis: GSEA, EnrichR, and LINCS)",RNA-seq DEG Analysis,"Single Cell Seq: alignment, matrix (Cell Ranger/SpaceRanger) for Loupe Browser, Single Cell Seq: ADVANCED Analysis: Customerized Integration, Annotation, and Comparisons","RNA-seq DEG Analysis, Pathway and Pertubagen Analysis (3Pod analysis: GSEA, EnrichR, and LINCS)",-,"RNA-seq DEG Analysis, Pathway Analysis (ClusterProfiler: GeneSet Enrichment Analysis [GSEA] & Overreprestation Analysis), Pathway and Pertubagen Analysis (3Pod analysis: GSEA, EnrichR, and LINCS)",,,,,,"['New genome annotation/GTF file (species/strain)', 'Single Cell Seq: alignment, matrix (Cell Ranger/SpaceRanger) for Loupe Browser', 'Single Cell Seq: ADVANCED Analysis: Customerized Integration, Annotation, and Comparisons']"
4ba96406,DNA Analysis Service Type,-,-,-,Variant Calling Analysis,-,-,-,-,-,-,DNA Methylation-Seq,-,,,,,,
762e425d,Protein Analysis Service Type,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
4cf3ecf1,Metabolite Analysis Service Type,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
6b210e49,Organism and Species,Mouse,Mouse,"Viruses, JC Virus",Viruses,Human,Mouse,Mouse,Mouse,Human,Mouse,mouse,"Viruses, HCMV",,,,,,['Mouse']
6b6c2a11,Data Type,Fastq RCF Genomics Core,Raw Counts,Fastq RCF Genomics Core,Variant Calling File,Raw Counts,Raw Counts,Fastq RCF Genomics Core,Fastq RCF Genomics Core,Fastq RCF Genomics Core,Raw Counts,Fastq RCF Genomics Core,Fastq RCF Genomics Core,,,,,,['Fastq RCF Genomics Core']
793de7c5,Library Preparation,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
06c7f244,Expected sample# ,12,30,15,4,30,37,7,30,5,72,6,30,,,,,,['20']
556945a8,Please list all comparisons,"Controls (Flox) vs. KO,Rad-Flox vs. Rad-KO,Flox vs. Rad-Flox,KO vs. Rad-KO","CC_OFSCvsCC_OFEC,CC_OFSCvsCC_OFDC,CC_OFSCvsCC_OFCSC,CC_OFECvsCC_OFCEC","WT vs Mock,Mad-1 vs Mock,S269F vs Mock,S269F vs Mad-1,S269F vs WT",-,HCMV4hvsMock4h, HCMV24hvsMock24h, HCMV2wkvsMock2wk, HCMV4wkvsMock4wk, HCMV6wkvsMock6wk, HCMVvsMock,"VT_OMCCvsVT_OFCC, VT_YMCCvsVT_YFCC, VT_OMCHvsVT_OFCH, VT_YMCHvsVT_YFCH, VT_OMCCvsVT_YFCC, VT_OMCHvsVT_YFCH","Saline prefrontal cortex (PFC) vs psilocybin PFC, Saline striatum (STR) vs psilocybin STR, Saline PFC vs DOI PFC, Saline PFC vs 4HO PFC, DOI PFC vs psilocybin PFC, DOI PFC vs 4HO PFC, 4HO PFC vs psilocybin PFC","Saline prefrontal cortex (PFC) vs psilocybin PFC, Saline striatum (STR) vs psilocybin STR, Saline PFC vs DOI PFC, Saline PFC vs 4HO PFC, DOI PFC vs psilocybin PFC, DOI PFC vs 4HO PFC, 4HO PFC vs psilocybin PFC  ","14M23, L8M20, 23M31, L11M37, L32F58","VT_YFTC vs VT_YFCC, VT_OFCC vs VT_YFCC, VT_OFTC vs VT_OFCC, VT_OFTC vs VT_YFTC, VT_YFTH vs VT_YFCH, VT_OFCH vs VT_YFCH, VT_OFTH vs VT_OFCH, VT_OFTH vs VT_YFTH, VT_YMTC vs VT_YMCC, VT_OMCC vs VT_YMCC, VT_OMTC vs VT_OMCC, VT_OMTC vs VT_YMTC, VT_YMTH vs VT_YMCH, VT_OMCH vs VT_YMCH, VT_OMTH vs VT_OMCH, VT_OMTH vs VT_YMTH",-,time vs infection vs mock,['to be determined']
